id,diakid,oraid
1,1000,1
2,1000,6
3,1001,20
4,1002,1
5,1002,6
6,1003,2
7,1003,6
8,1004,1
9,1004,6
10,1005,11
11,1005,16
12,1006,2
13,1006,6
14,1007,9
15,1008,9
16,1009,1
17,1009,6
18,1010,4
19,1010,9
20,1011,4
21,1011,10
22,1012,20
23,1013,5
24,1013,8
25,1014,20
26,1015,20
27,1016,1
28,1016,6
29,1017,1
30,1017,6
31,1018,1
32,1018,7
33,1019,4
34,1019,10
35,1020,5
36,1020,8
37,1021,2
38,1021,7
39,1022,5
40,1022,8
41,1023,4
42,1023,9
43,1024,4
44,1024,9
45,1024,53
46,1025,5
47,1025,8
48,1026,2
49,1026,7
50,1027,12
51,1027,19
52,1028,24
53,1029,12
54,1029,19
55,1030,11
56,1030,16
57,1031,11
58,1031,16
59,1032,13
60,1032,17
61,1032,53
62,1033,13
63,1033,17
64,1034,4
65,1034,9
66,1035,11
67,1035,16
68,1036,4
69,1036,9
70,1037,11
71,1037,16
72,1037,53
73,1038,2
74,1038,7
75,1038,53
76,1039,5
77,1039,8
78,1040,11
79,1040,16
80,1041,4
81,1041,10
82,1042,14
83,1042,18
84,1043,14
85,1043,18
86,1044,24
87,1045,5
88,1045,8
89,1046,14
90,1046,18
91,1047,13
92,1047,17
93,1048,12
94,1048,19
95,1048,56
96,1049,24
97,1050,13
98,1050,17
99,1051,56
100,1051,12
101,1051,19
102,1052,12
103,1052,20
104,1053,56
105,1054,12
106,1054,20
107,1054,24
108,1055,13
109,1055,20
110,1056,2
111,1056,7
112,1057,27
113,1058,4
114,1058,10
115,1059,14
116,1059,18
117,1060,56
118,1061,14
119,1061,18
120,1061,56
121,1062,24
122,1063,13
123,1063,17
124,1064,14
125,1064,18
126,1065,27
127,1066,13
128,1066,17
129,1067,24
130,1068,24
131,1069,12
132,1069,19
133,1070,23
134,1070,28
135,1071,5
136,1071,8
137,1072,22
138,1072,30
139,1073,2
140,1073,7
141,1073,54
142,1074,22
143,1074,30
144,1075,24
145,1075,26
146,1076,14
147,1076,18
148,1077,13
149,1077,17
150,1078,14
151,1078,18
152,1079,24
153,1079,26
154,1080,27
155,1081,12
156,1081,19
157,1082,22
158,1082,30
159,1083,5
160,1083,8
161,1084,22
162,1084,30
163,1085,23
164,1085,28
165,1086,27
166,1087,14
167,1087,18
168,1088,25
169,1088,29
170,1089,25
171,1089,29
172,1090,3
173,1090,10
174,1091,3
175,1091,10
176,1092,3
177,1092,10
178,1093,1
179,1093,7
180,1094,1
181,1094,7
182,1094,54
183,1095,27
184,1096,1
185,1096,6
186,1096,54
187,1097,12
188,1097,19
189,1097,60
190,1098,11
191,1098,16
192,1099,25
193,1099,29
194,1100,22
195,1100,27
196,1101,5
197,1101,8
198,1102,12
199,1102,19
200,1103,5
201,1103,8
202,1104,11
203,1104,16
204,1105,22
205,1105,30
206,1106,22
207,1106,30
208,1107,11
209,1107,16
210,1108,12
211,1108,19
212,1109,12
213,1109,19
214,1110,3
215,1110,10
216,1111,3
217,1111,10
218,1112,22
219,1112,27
220,1113,3
221,1113,10
222,1114,31
223,1114,36
224,1115,5
225,1115,8
226,1116,22
227,1116,27
228,1117,27
229,1118,25
230,1118,29
231,1119,1
232,1119,19
233,1120,25
234,1120,29
235,1121,60
236,1122,14
237,1122,18
238,1123,22
239,1123,27
240,1124,60
241,1125,23
242,1125,28
243,1126,54
244,1127,2
245,1127,7
246,1128,31
247,1128,36
248,1129,5
249,1129,8
250,1130,3
251,1130,10
252,1131,22
253,1131,30
254,1132,32
255,1132,39
256,1133,32
257,1133,39
258,1134,21
259,1134,26
260,1135,21
261,1136,26
262,1136,54
263,1137,23
264,1137,28
265,1138,31
266,1138,37
267,1139,34
268,1139,40
269,1140,5
270,1140,8
271,1141,14
272,1141,18
273,1141,60
274,1142,32
275,1142,39
276,1143,5
277,1143,8
278,1144,33
279,1144,36
280,1145,14
281,1145,18
282,1146,31
283,1146,36
284,1147,3
285,1147,10
286,1148,21
287,1148,26
288,1149,23
289,1149,28
290,1149,60
291,1150,25
292,1150,29
293,1151,22
294,1151,30
295,1152,23
296,1152,28
297,1153,55
298,1153,58
299,1155,21
300,1155,26
301,1156,47
302,1157,3
303,1157,10
304,1158,32
305,1158,39
306,1159,2
307,1159,7
308,1160,33
309,1160,36
310,1161,22
311,1161,30
312,1162,25
313,1162,29
314,1163,47
315,1164,32
316,1164,39
317,1165,33
318,1165,36
319,1166,32
320,1166,39
321,1167,47
322,1168,5
323,1168,8
324,1169,41
325,1169,47
326,1171,13
327,1171,17
328,1172,34
329,1172,40
330,1173,51
331,1174,12
332,1174,19
333,1175,12
334,1175,19
335,1176,33
336,1176,38
337,1177,21
338,1177,26
339,1178,51
340,1179,21
341,1179,26
342,1180,25
343,1180,29
344,1181,21
345,1181,26
346,1182,11
347,1182,16
348,1183,33
349,1183,38
350,1184,42
351,1184,50
352,1185,14
353,1185,18
354,1186,32
355,1186,39
356,1187,14
357,1187,18
358,1187,35
359,1188,23
360,1188,28
361,1188,52
362,1192,23
363,1192,28
364,1193,23
365,1193,28
366,1194,2
367,1194,7
368,1195,45
369,1196,25
370,1196,29
371,1197,3
372,1197,10
373,1198,21
374,1198,26
375,1198,51
376,1199,31
377,1199,36
378,1200,31
379,1200,37
380,1201,1
381,1201,7
382,1201,51
383,1202,32
384,1202,39
385,1203,1
386,1203,6
387,1204,45
388,1205,45
389,1206,1
390,1206,7
391,1207,35
392,1208,23
393,1208,28
394,1209,35
395,1210,31
396,1210,36
397,1211,21
398,1211,26
399,1212,31
400,1212,36
401,1213,14
402,1213,18
403,1214,25
404,1214,29
405,1214,35
406,1215,32
407,1215,39
408,1216,34
409,1216,40
410,1217,42
411,1217,50
412,1218,23
413,1218,28
414,1219,41
415,1219,47
416,1220,42
417,1220,50
418,1221,43
419,1221,46
420,1222,13
421,1222,17
422,1222,50
423,1223,33
424,1223,37
425,1224,34
426,1225,40
427,1226,25
428,1226,27
429,1227,27
430,1228,21
431,1228,26
432,1229,23
433,1229,28
434,1230,43
435,1230,46
436,1231,33
437,1231,38
438,1232,44
439,1232,48
440,1233,44
441,1233,48
442,1234,43
443,1234,46
444,1235,58
445,1236,23
446,1236,28
447,1237,50
448,1238,45
449,1238,49
450,1239,58
451,1240,23
452,1240,28
453,1241,45
454,1241,49
455,1242,58
456,1242,55
457,1243,50
458,1244,44
459,1244,48
460,1245,52
461,1245,60
462,1246,58
463,1247,50
464,1248,32
465,1248,39
466,1249,58
467,1250,33
468,1250,37
469,1251,34
470,1251,40
471,1252,51
472,1252,59
473,1253,58
474,1254,22
475,1254,30
476,1255,25
477,1255,27
478,1256,45
479,1256,49
480,1257,32
481,1257,39
482,1258,33
483,1258,36
484,1259,33
485,1260,37
486,1261,12
487,1261,19
